WeekOfYear,RankThisWeek,RankKastWeek,Title,Studio,Revenue(USD),NumOfTheaters,ReleaseWeek
4,19,,Ip Man 3,WGUSA,1117333,103,1
4,20,15,Carol,Wein.,1032214,692,10
4,21,,Lazer Team,Ampl.,1008747,0,-
4,22,21,The Danish Girl,Focus,880027,794,9
4,23,16,The Good Dinosaur,BV,643234,467,9
4,24,17,The Hunger Games: Mockingjay - Part 2,LGF,642416,516,10
4,25,18,Creed,WB (NL),598748,558,9
4,26,24,Anomalisa,Par.,541845,143,4
4,27,29,Bridge of Spies,BV,528059,523,15
4,28,23,The Martian,Fox,391292,276,17
4,29,19,Concussion (2015),Sony,390778,315,5
4,30,40,The Lady in the Van,SPC,278864,30,7
4,31,37,45 Years,IFC,266079,39,5
4,32,25,Spectre,Sony,242738,217,12
4,33,30,In the Heart of the Sea,WB,194593,202,7
4,34,26,The Peanuts Movie,Fox,190978,220,12
4,35,38,Trumbo (2015),BST,156766,136,12
4,36,33,Son of Saul,SPC,145307,34,6
4,37,31,Hotel Transylvania 2,Sony,138752,139,18
4,38,22,Point Break (2015),WB,137245,138,5
4,39,32,Youth,FoxS,134287,76,8
4,40,34,Goosebumps,Sony,112817,106,15
4,41,,Caged No More,Free,98836,116,1
4,42,27,Detective Chinatown (Tang ren jie tan an),CL,94325,36,2
4,43,35,Mustang,Cohen,85748,54,10
4,44,28,Wazir,Relbig.,57856,32,3
4,45,39,The Himalayas,CJ,42586,9,6
4,46,43,Hubble 3D,WB,42087,6,289
4,47,36,Bajirao Mastani,Eros,41345,302,6
4,48,80,Burnt,Wein.,33396,61,13
4,49,,Monster Hunt,FR,32766,41,1
4,50,,Aferim!,BWP,26978,5,1
4,51,69,Heart of a Dog,Abr.,23583,7,14
4,52,,Boy and the World,GK,20785,17,7
4,53,51,Theeb,FM,19847,21,12
4,54,76,Born to Be Wild (IMAX),WB,16643,4,232
4,55,41,Macbeth (2015),Wein.,15800,12,8
4,56,55,Janis: Little Girl Blue,FR,15721,6,9
4,57,,Pierrot le fou (2015 re-issue),Rialto,13176,1,4
4,58,52,Chi-Raq,RAtt.,9904,9,8
4,59,46,Ho Mann Jahaan,Eros,9359,23,4
4,60,82,Journey to the South Pacific,Imax,8585,2,96
4,61,68,Grandma (2015),SPC,8156,22,23
4,62,67,Hitchcock/Truffaut,Cohen,6679,6,8
4,63,44,Mr. Six,CL,6524,2,5
4,64,,Mojave,A24,6523,26,1
4,65,73,Remember,EOne,5863,4,15
4,66,,To the Arctic (IMAX),WB,5480,1,174
4,67,53,In the Shadow of Women,Distrib.,5353,2,2
4,68,62,Remember You,CJ,5246,2,2
4,69,56,Only Yesterday (2016 re-release),GK,4558,1,4
4,70,54,Island of Lemurs: Madagascar (IMAX),WB,4284,6,95
4,71,77,Under the Sea 3D,WB,4025,3,345
4,72,83,Censored Voices,MBox,4015,6,10
4,73,,Synchronicity,Magn.,3955,5,1
4,74,57,Truth,SPC,3718,9,15
4,75,70,Ingrid Bergman: In Her Own Words,Rialto,3652,3,11
4,76,63,Troublemakers: The Story of Land Art,FRun,3017,4,3
4,77,81,A Perfect Day,IFC,2501,2,2
4,78,64,Trust Fund,Trans,2369,1,3
4,79,85,Yosemite,Mont.,2343,3,4
4,80,61,Labyrinth of Lies,SPC,2254,6,17
4,81,60,Anesthesia,IFC,2051,6,3
4,82,71,In Jackson Heights,Zipp.,1981,4,12
4,83,,The Winding Stream,Argo.,1764,1,6
4,84,84,Deep Sea 3D (IMAX),WB,1639,1,474
4,85,58,The Treasure,SDS,1532,5,3
4,86,79,Woodlawn,PFR,1337,4,15
4,87,45,Dictator,Eros,1238,19,2
4,88,74,The Letters,Free,1101,2,8
4,89,88,Space Station 3-D (IMAX),Imax,1095,0,682
4,90,75,Flowers,MBox,812,2,13
4,91,86,Dreams Rewired,Icar.,54,1,11
5,1,,Kung Fu Panda 3,Fox,48050957,3955,1
5,2,1,The Revenant,Fox,16832035,3330,6
5,3,2,Star Wars: The Force Awakens,BV,14427307,2556,7
5,4,,The Finest Hours,BV,13665660,3143,1
5,5,3,Ride Along 2,Uni.,10257140,2412,3
5,6,4,Dirty Grandpa,LGF,10093743,2912,2
5,7,5,The Boy (2016),STX,9163768,2671,2
5,8,6,The 5th Wave,Sony,8777051,2908,2
5,9,7,13 Hours: The Secret Soldiers of Benghazi,Par.,8318747,2803,3
5,10,,Fifty Shades of Black,ORF,7290620,2075,1
5,11,10,The Big Short,Par.,4049999,983,8
5,12,8,Daddy's Home,Par.,3779613,1718,6
5,13,11,Brooklyn,FoxS,2529772,748,13
5,14,14,Room,A24,1805598,795,16
5,15,16,Spotlight,ORF,1703046,715,13
5,16,,Jane Got a Gun,Wein.,1259761,1210,1
5,17,9,Norm of the North,LGF,1145207,1506,3
5,18,15,The Hateful Eight,Wein.,1014859,505,6
5,19,12,Sisters,Uni.,821230,529,7
5,20,17,Joy,Fox,810566,447,6
5,21,,2016 Oscar Nominated Short Films,Shrts.,786399,123,1
5,22,19,Ip Man 3,WGUSA,733392,115,2
5,23,31,45 Years,IFC,724424,93,6
5,24,20,Carol,Wein.,626611,313,11
5,25,13,The Forest,Focus,558484,532,4
5,26,18,Alvin and the Chipmunks: The Road Chip,Fox,532901,453,7
5,27,26,Anomalisa,Par.,498763,169,5
5,28,30,The Lady in the Van,SPC,442929,50,9
5,29,22,The Danish Girl,Focus,400955,224,10
5,30,25,Creed,WB (NL),369024,248,10
5,31,23,The Good Dinosaur,BV,355664,285,10
5,32,24,The Hunger Games: Mockingjay - Part 2,LGF,346283,254,11
5,33,27,Bridge of Spies,BV,280873,218,16
5,34,28,The Martian,Fox,279633,230,18
5,35,36,Son of Saul,SPC,232310,55,7
5,36,29,Concussion (2015),Sony,226299,158,6
5,37,38,Point Break (2015),WB,211580,172,6
5,38,32,Spectre,Sony,181079,195,13
5,39,33,In the Heart of the Sea,WB,155460,155,8
5,40,34,The Peanuts Movie,Fox,138836,179,13
5,41,21,Lazer Team,Ampl.,134150,35,1
5,42,35,Trumbo (2015),BST,117111,78,13
5,43,39,Youth,FoxS,93684,44,9
5,44,37,Hotel Transylvania 2,Sony,83642,109,19
5,45,40,Goosebumps,Sony,83180,88,16
5,46,43,Mustang,Cohen,66362,26,11
5,47,46,Hubble 3D,WB,42869,10,291
5,48,,Mastizaade,Eros,41170,46,1
5,49,50,Aferim!,BWP,26934,6,2
5,50,45,The Himalayas,CJ,18950,9,7
5,51,52,Boy and the World,GK,16855,16,8
5,52,55,Macbeth (2015),Wein.,16791,13,9
5,53,53,Theeb,FM,16012,24,13
5,54,41,Caged No More,Free,12554,14,2
5,55,48,Burnt,Wein.,11960,27,14
5,56,,"Rabin, the Last Day",KL,11536,1,1
5,57,67,In the Shadow of Women,Distrib.,10977,3,3
5,58,,Requiem for the American Dream,TFC,10854,2,1
5,59,,Chimes at Midnight (2016 re-release),Jan.,10629,4,5
5,60,47,Bajirao Mastani,Eros,10297,302,7
5,61,44,Wazir,Relbig.,10212,12,4
5,62,85,The Treasure,SDS,9792,2,4
5,63,,Sembene!,KL,9493,1,6
5,64,56,Janis: Little Girl Blue,FR,7594,3,10
5,65,61,Grandma (2015),SPC,7502,19,24
5,66,59,Ho Mann Jahaan,Eros,6680,23,5
5,67,,Tab Hunter Confidential,TFC,6055,6,10
5,68,,A Melody to Remember,CJ,5873,1,1
5,69,51,Heart of a Dog,Abr.,5698,7,15
5,70,60,Journey to the South Pacific,Imax,5229,3,98
5,71,71,Under the Sea 3D,WB,4898,2,347
5,72,65,Remember,EOne,4671,0,16
5,73,70,Island of Lemurs: Madagascar (IMAX),WB,4664,4,96
5,74,74,Truth,SPC,4055,4,16
5,75,,Jafar Panahi's Taxi,KL,4053,2,18
5,76,54,Born to Be Wild (IMAX),WB,4013,5,234
5,77,80,Labyrinth of Lies,SPC,3621,4,18
5,78,62,Hitchcock/Truffaut,Cohen,3307,4,9
5,79,82,In Jackson Heights,Zipp.,3178,3,13
5,80,,Rosenwald,CIE,3083,1,20
5,81,89,Space Station 3-D (IMAX),Imax,3067,2,684
5,82,81,Anesthesia,IFC,2876,6,4
5,83,,Rams (Hr偀ar),Cohen,2725,2,-
5,84,76,Troublemakers: The Story of Land Art,FRun,2665,3,4
5,85,69,Only Yesterday (2016 re-release),GK,2642,1,5
5,86,,River of Fundament,ICir,2525,1,8
5,87,75,Ingrid Bergman: In Her Own Words,Rialto,2069,2,12
5,88,79,Yosemite,Mont.,1805,4,5
5,89,86,Woodlawn,PFR,1792,2,16
5,90,78,Trust Fund,Trans,1706,1,4
5,91,64,Mojave,A24,1377,2,2
5,92,84,Deep Sea 3D (IMAX),WB,945,3,476
5,93,91,Dreams Rewired,Icar.,826,2,12
5,94,83,The Winding Stream,Argo.,786,1,7
5,95,73,Synchronicity,Magn.,550,2,2
5,96,,Pearl Button,KL,452,1,15
5,97,66,To the Arctic (IMAX),WB,180,0,175
5,98,,Arabian Nights: Volume 3 - The Enchanted One,KL,100,1,5
6,1,1,Kung Fu Panda 3,Fox,26211430,3987,2
6,2,,"Hail, Caesar!",Uni.,14764970,2248,1
6,3,2,The Revenant,Fox,9661196,3018,7
6,4,3,Star Wars: The Force Awakens,BV,9573495,2262,8
6,5,,The Choice,LGF,8009551,2631,1
6,6,,Pride and Prejudice and Zombies,SGem,6891197,2931,1
6,7,4,The Finest Hours,BV,6862186,3143,2
6,8,5,Ride Along 2,Uni.,5844405,2172,4
6,9,6,Dirty Grandpa,LGF,5551167,2567,3
6,10,7,The Boy (2016),STX,5067903,2214,3
6,11,8,The 5th Wave,Sony,4854170,2346,3
6,12,9,13 Hours: The Secret Soldiers of Benghazi,Par.,4054423,2059,4
6,13,10,Fifty Shades of Black,ORF,2813436,2075,2
6,14,11,The Big Short,Par.,2381361,660,9
6,15,12,Daddy's Home,Par.,1905668,1018,7
6,16,13,Brooklyn,FoxS,1755310,703,14
6,17,15,Spotlight,ORF,1237078,668,14
6,18,14,Room,A24,1081595,631,17
6,19,23,45 Years,IFC,718052,154,7
6,20,21,2016 Oscar Nominated Short Films,Shrts.,627088,170,2
6,21,28,The Lady in the Van,SPC,555190,82,10
6,22,18,The Hateful Eight,Wein.,515153,373,7
6,23,22,Ip Man 3,WGUSA,420219,112,3
6,24,20,Joy,Fox,367502,286,7
6,25,26,Alvin and the Chipmunks: The Road Chip,Fox,365210,300,8
6,26,24,Carol,Wein.,342138,236,12
6,27,19,Sisters,Uni.,329435,287,8
6,28,,The Monkey King 2 in 3D,CL,310816,38,1
6,29,30,Creed,WB (NL),297320,242,11
6,30,16,Jane Got a Gun,Wein.,247632,1031,2
6,31,31,The Good Dinosaur,BV,238823,194,11
6,32,27,Anomalisa,Par.,231429,147,6
6,33,17,Norm of the North,LGF,230735,338,4
6,34,29,The Danish Girl,Focus,218840,155,11
6,35,32,The Hunger Games: Mockingjay - Part 2,LGF,218713,207,12
6,36,25,The Forest,Focus,167595,162,5
6,37,34,The Martian,Fox,161062,173,19
6,38,37,Point Break (2015),WB,144559,166,7
6,39,36,Concussion (2015),Sony,135780,116,7
6,40,35,Son of Saul,SPC,129433,54,8
6,41,33,Bridge of Spies,BV,122342,139,17
6,42,39,In the Heart of the Sea,WB,104948,131,9
6,43,38,Spectre,Sony,96190,115,14
6,44,40,The Peanuts Movie,Fox,84263,145,14
6,45,,Tumbledown,SM,83606,55,1
6,46,42,Trumbo (2015),BST,62992,61,14
6,47,46,Mustang,Cohen,55189,30,12
6,48,,Regression,W/Dim.,50776,100,1
6,49,45,Goosebumps,Sony,49544,70,17
6,50,47,Hubble 3D,WB,49312,9,293
6,51,44,Hotel Transylvania 2,Sony,47873,92,20
6,52,43,Youth,FoxS,44950,41,10
6,53,41,Lazer Team,Ampl.,43529,15,2
6,54,68,A Melody to Remember,CJ,31563,13,2
6,55,51,Boy and the World,GK,21652,19,9
6,56,83,Rams (Hr偀ar),Cohen,20941,3,1
6,57,,I Knew Her Well,Jan.,18010,1,1
6,58,,Eisenstein in Guanajuato,Strand,16136,4,1
6,59,52,Macbeth (2015),Wein.,14200,10,10
